match_id,team_name,goals_for,goals_against,goal_diff,outcome
3788753,Finland,0,1,-1,loss
3788765,Switzerland,3,1,2,win
3795107,Belgium,1,2,-1,loss
3795221,England,2,1,1,win
3795506,Italy,1,1,0,tie
3794688,England,2,0,2,win
3794692,Sweden,1,2,-1,loss
3794686,Croatia,3,5,-2,loss
3794687,Belgium,1,0,1,win
3794685,Italy,2,1,1,win
3788774,Germany,2,2,0,tie
3788771,Croatia,3,1,2,win
3788772,Czech Republic,0,1,-1,loss
3788768,Finland,0,2,-2,loss
3788767,Ukraine,0,1,-1,loss
3788763,Hungary,1,1,0,tie
3788759,England,0,0,0,tie
3788758,Ukraine,2,1,1,win
3788757,Denmark,1,2,-1,loss
3788745,England,1,0,1,win
3788746,Netherlands,3,2,1,win
3794691,France,3,3,0,tie
3794690,Netherlands,0,2,-2,loss
3794689,Wales,0,4,-4,loss
3788769,Russia,1,4,-3,loss
3788761,Sweden,1,0,1,win
3788764,Portugal,2,4,-2,loss
3788766,Italy,1,0,1,win
3788754,Italy,3,0,3,win
3788755,Turkey,0,2,-2,loss
3788773,Portugal,2,2,0,tie
3788762,Spain,1,1,0,tie
3788760,Croatia,1,1,0,tie
3788747,Austria,3,1,2,win
3788741,Turkey,0,3,-3,loss
3795220,Italy,1,1,0,tie
3788770,North Macedonia,0,3,-3,loss
3795108,Switzerland,1,1,0,tie
3795187,Ukraine,0,4,-4,loss
3795109,Czech Republic,1,2,-1,loss
3788756,Netherlands,2,0,2,win
3788749,Poland,1,2,-1,loss
3788750,Spain,0,0,0,tie
3788748,Scotland,0,2,-2,loss
3788751,France,1,0,1,win
3788752,Hungary,0,3,-3,loss
3788742,Denmark,0,1,-1,loss
3788775,Slovakia,0,5,-5,loss
3788776,Sweden,3,2,1,win
3788743,Belgium,3,0,3,win
3788744,Wales,1,1,0,tie
3788753,Russia,1,0,1,win
3788765,Turkey,1,3,-2,loss
3795107,Italy,2,1,1,win
3795221,Denmark,1,2,-1,loss
3795506,England,1,1,0,tie
3794688,Germany,0,2,-2,loss
3794692,Ukraine,2,1,1,win
3794686,Spain,5,3,2,win
3794687,Portugal,0,1,-1,loss
3794685,Austria,1,2,-1,loss
3788774,Hungary,2,2,0,tie
3788771,Scotland,1,3,-2,loss
3788772,England,1,0,1,win
3788768,Belgium,2,0,2,win
3788767,Austria,1,0,1,win
3788763,France,1,1,0,tie
3788759,Scotland,0,0,0,tie
3788758,North Macedonia,1,2,-1,loss
3788757,Belgium,2,1,1,win
3788745,Croatia,0,1,-1,loss
3788746,Ukraine,2,3,-1,loss
3794691,Switzerland,3,3,0,tie
3794690,Czech Republic,2,0,2,win
3794689,Denmark,4,0,4,win
3788769,Denmark,4,1,3,win
3788761,Slovakia,0,1,-1,loss
3788764,Germany,4,2,2,win
3788766,Wales,0,1,-1,loss
3788754,Switzerland,0,3,-3,loss
3788755,Wales,2,0,2,win
3788773,France,2,2,0,tie
3788762,Poland,1,1,0,tie
3788760,Czech Republic,1,1,0,tie
3788747,North Macedonia,1,3,-2,loss
3788741,Italy,3,0,3,win
3795220,Spain,1,1,0,tie
3788770,Netherlands,3,0,3,win
3795108,Spain,1,1,0,tie
3795187,England,4,0,4,win
3795109,Denmark,2,1,1,win
3788756,Austria,0,2,-2,loss
3788749,Slovakia,2,1,1,win
3788750,Sweden,0,0,0,tie
3788748,Czech Republic,2,0,2,win
3788751,Germany,0,1,-1,loss
3788752,Portugal,3,0,3,win
3788742,Finland,1,0,1,win
3788775,Spain,5,0,5,win
3788776,Poland,2,3,-1,loss
3788743,Russia,0,3,-3,loss
3788744,Switzerland,1,1,0,tie
